epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1110.32,1.08193,10.9232,0.56253,0.28334,0.16291,0.09319,0.04817,0.71377,1.25208,0.34205,0.000185232,0.000185232,0.000185232
2,2216.68,0.72563,1.05492,0.2991,0.26747,0.21346,0.12481,0.06537,0.70679,1.0334,0.31761,0.000359775,0.000359775,0.000359775
3,3318.77,0.72275,0.98411,0.29272,0.31645,0.20764,0.1316,0.06542,0.69146,1.13983,0.31625,0.00052445,0.00052445,0.00052445
4,5006.99,0.69357,0.98616,0.28253,0.36306,0.19715,0.13772,0.06533,0.70496,1.09168,0.33613,0.000508819,0.000508819,0.000508819
5,6272.95,0.69481,0.95176,0.27729,0.23745,0.21482,0.15138,0.07708,0.68255,1.02057,0.31387,0.000484975,0.000484975,0.000484975
6,7377.09,0.67204,0.92253,0.26569,0.32513,0.22164,0.18021,0.08676,0.67483,0.98209,0.30423,0.000467219,0.000467219,0.000467219
7,8481.21,0.65112,0.91231,0.25376,0.25088,0.24784,0.18728,0.0969,0.6458,0.9568,0.29449,0.000449463,0.000449463,0.000449463
8,9583.93,0.64268,0.87437,0.24599,0.27136,0.24105,0.19677,0.09466,0.66917,1.01431,0.30639,0.000435591,0.000435591,0.000435591
9,10683.8,0.63363,0.89475,0.24375,0.3663,0.24472,0.19192,0.09403,0.65404,1.00933,0.30111,0.00041839,0.00041839,0.00041839
10,11781.5,0.63157,0.88429,0.23865,0.31774,0.26286,0.21623,0.10914,0.64741,0.93941,0.2951,0.000401189,0.000401189,0.000401189
11,12881.6,0.62192,0.84433,0.23983,0.30555,0.25418,0.22337,0.1131,0.6266,0.97262,0.2813,0.0003892,0.0003892,0.0003892
12,13981.2,0.61175,0.85658,0.23319,0.30735,0.26835,0.21391,0.10492,0.63373,1.01559,0.28807,0.00037252,0.00037252,0.00037252
13,15080.6,0.61276,0.81673,0.23363,0.30802,0.28586,0.23517,0.12133,0.62309,0.93448,0.27552,0.00035584,0.00035584,0.00035584
14,16180.8,0.60135,0.80893,0.22472,0.42297,0.27485,0.24276,0.12121,0.6186,0.90621,0.27828,0.00033916,0.00033916,0.00033916
15,17278.1,0.59565,0.81906,0.2223,0.39663,0.27875,0.25734,0.12756,0.63353,0.95745,0.27901,0.00032248,0.00032248,0.00032248
16,18385.6,0.5774,0.80318,0.2169,0.32991,0.29382,0.25566,0.12824,0.62003,0.94847,0.27378,0.0003058,0.0003058,0.0003058
17,19492,0.58406,0.76967,0.21731,0.36603,0.30421,0.27157,0.13257,0.62573,0.91215,0.27698,0.00028912,0.00028912,0.00028912
18,20593.8,0.57639,0.79031,0.21069,0.38774,0.30804,0.266,0.13238,0.61981,0.91714,0.27862,0.00027244,0.00027244,0.00027244
19,21693,0.57637,0.76773,0.21403,0.35366,0.2868,0.27455,0.13892,0.62445,0.88312,0.28467,0.000264591,0.000264591,0.000264591
20,22796,0.56576,0.76457,0.20679,0.37881,0.3086,0.28334,0.14244,0.6126,0.87935,0.27545,0.000248401,0.000248401,0.000248401
21,23895.5,0.55826,0.74034,0.20737,0.37152,0.31328,0.28518,0.14221,0.64865,0.8478,0.29414,0.000232212,0.000232212,0.000232212
22,24991.9,0.55518,0.7418,0.20352,0.37322,0.31029,0.2949,0.14818,0.61952,0.89922,0.27474,0.000216022,0.000216022,0.000216022
23,26091.8,0.54532,0.74407,0.19959,0.36751,0.33144,0.29336,0.14717,0.62328,0.88077,0.27857,0.000199833,0.000199833,0.000199833
24,27189.5,0.54685,0.73637,0.19898,0.36779,0.32307,0.28811,0.14428,0.63516,0.86951,0.28423,0.000183644,0.000183644,0.000183644
25,28286,0.47374,0.65238,0.18553,0.42994,0.28323,0.30518,0.1554,0.61446,0.87607,0.27636,0.000167454,0.000167454,0.000167454
26,29384.1,0.46264,0.63105,0.17764,0.42323,0.2917,0.30235,0.15121,0.6186,0.89995,0.27694,0.000151265,0.000151265,0.000151265
27,30481.1,0.46386,0.62953,0.17689,0.36197,0.33416,0.29371,0.14642,0.62366,0.89534,0.27861,0.000135075,0.000135075,0.000135075
28,31577.2,0.45467,0.6154,0.17443,0.40208,0.32553,0.31203,0.15797,0.61726,0.87258,0.27725,0.000118886,0.000118886,0.000118886
29,32674.2,0.44916,0.60866,0.17135,0.40068,0.30628,0.29725,0.15091,0.63236,0.88389,0.28806,0.000102696,0.000102696,0.000102696
30,34039.8,0.4461,0.59321,0.16967,0.41213,0.31778,0.30762,0.15289,0.64016,0.88162,0.29051,8.65071e-05,8.65071e-05,8.65071e-05
31,35135.5,0.43497,0.58131,0.16532,0.37032,0.32965,0.30272,0.15115,0.64234,0.86019,0.28877,7.03176e-05,7.03176e-05,7.03176e-05
32,36230.5,0.43184,0.57336,0.16344,0.38892,0.31325,0.30002,0.14789,0.64199,0.88493,0.289,5.41282e-05,5.41282e-05,5.41282e-05
33,37325.5,0.43163,0.56452,0.1642,0.42149,0.30585,0.30831,0.15411,0.63283,0.89091,0.28469,3.79388e-05,3.79388e-05,3.79388e-05
34,37855.2,0.41306,0.56146,0.15585,0.40645,0.31227,0.30877,0.15531,0.63373,0.8863,0.28509,2.17494e-05,2.17494e-05,2.17494e-05
