epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4170.68,0.88694,9.45837,0.49222,0.10661,0.14499,0.07473,0.03777,0.68838,1.18846,0.34545,0.000185282,0.000185282,0.000185282
2,8510.38,0.61649,0.86529,0.27554,0.28557,0.17164,0.1029,0.05209,0.65723,1.01545,0.31383,0.000333925,0.000333925,0.000333925
3,12556.1,0.56799,0.81468,0.24414,0.2809,0.19641,0.1299,0.06526,0.64479,1.02412,0.30411,0.00043364,0.00043364,0.00043364
4,16602,0.5417,0.79749,0.22707,0.28936,0.20895,0.14501,0.07073,0.6199,0.97136,0.28823,0.000390868,0.000390868,0.000390868
5,20674,0.52963,0.78261,0.22079,0.33273,0.22558,0.15417,0.07779,0.58329,1.00887,0.26448,0.000335824,0.000335824,0.000335824
6,24726.1,0.50237,0.75415,0.20589,0.2926,0.23158,0.16601,0.08393,0.59834,0.88477,0.27552,0.00028078,0.00028078,0.00028078
7,28778.5,0.49873,0.71577,0.19977,0.3357,0.25787,0.19432,0.0982,0.57268,0.92829,0.26087,0.000225736,0.000225736,0.000225736
8,33095.2,0.47977,0.71537,0.18714,0.36204,0.25441,0.20926,0.10562,0.58368,0.8605,0.26854,0.000170692,0.000170692,0.000170692
9,37150.7,0.46184,0.69856,0.1826,0.3793,0.26201,0.21959,0.11072,0.56726,0.89039,0.26094,0.000115648,0.000115648,0.000115648
10,37988.3,0.44575,0.67422,0.18155,0.3838,0.2801,0.23447,0.11819,0.56535,0.84807,0.26013,6.0604e-05,6.0604e-05,6.0604e-05
